item, information link, buy link
"Archie McPhee Yodelling Pickle","https://www.amazon.com/Accoutrements-11761-Yodelling-Pickle/dp/B0010VS078","http://adfoc.us/875782113256350"
"Rubber Horse Head Mask","https://www.amazon.com/Accoutrements-12027-Horse-Head-Mask/dp/B003G4IM4S","http://adfoc.us/875782113256351"
"Three Wolf Moon T-Shirt","https://www.amazon.com/Mountain-Three-Wolf-Short-Sleeve/dp/B002HJ377A","http://adfoc.us/875782113256352"
"Macaroni and Cheese Scented Candle","https://www.amazon.com/Macaroni-Cheese-Scented-Candle-Friends/dp/B0BB1V77M4","http://adfoc.us/875782113256353"
"Nicolas Cage Sequin Pillowcase","https://www.amazon.com/Rackynass-Nicolas-Reversible-Decorative-Cushion/dp/B0B66V8GMX","http://adfoc.us/875782113256354"
"Finger Hands (Tiny Finger Puppets)","https://www.amazon.com/Accoutrements-12513-Finger-Hands/dp/B00NI2PDC2","http://adfoc.us/875782113256355"
"Bigfoot the Yeti Garden Statue","https://www.amazon.com/LARGE-BIGFOOT-GARDEN-YETI-STATUE/dp/B001M2ELNW","http://adfoc.us/875782113256356"
"The Selfie Toaster","https://www.amazon.com/toastertm-insert-possibly-coolest-personalized/dp/B07XC94P2Z","http://adfoc.us/875782113256357"
"Inflatable Unicorn Horn for Cats","https://www.amazon.com/Accoutrements-Inflatable-Unicorn-Horn-Cats/dp/B00BPMMQDG","http://adfoc.us/875782113256358"
"Toilet Golf Game","https://www.amazon.com/Novelty-Place-Toilet-Golf-Game/dp/B09N13F4WM","http://adfoc.us/875782113256359"
"Screaming Rubber Chicken","https://www.amazon.com/Animolds-Squeeze-Chicken-Screaming-Chickens/dp/B07NKXT9WM","http://adfoc.us/875782113256360"
"Squishable Avocado Hugging Plush","https://www.amazon.com/Squishable-Comfort-Food-Avocado-Plush/dp/B071XK1T4T","http://adfoc.us/875782113256361"
"Pop the Pig Board Game","https://www.amazon.com/Pop-Pig-Game-Improved-Belly-Busting/dp/B00CYQ24QG","http://adfoc.us/875782113256362"
"Beard King Beard Bib Apron","https://www.amazon.com/beard-bib-shaving-trimmer-catcher-net/dp/B07HGJTHY3","http://adfoc.us/875782113256363"
"Billy Bob Hillbilly Teeth","https://www.amazon.com/Billy-10031-Deliverance-Teeth-Novelty/dp/B0006GK8TQ","http://adfoc.us/875782113256364"
"'How to Avoid Huge Ships' Book","https://www.amazon.com/Avoid-Huge-Ships-John-Trimmer/dp/0870334336","http://adfoc.us/875782113256365"
"Rubie's Inflatable T-Rex Costume","https://www.amazon.com/Rubies-Adult-Jurassic-Inflatable-Costume/dp/B00TO6E0T8","http://adfoc.us/875782113256366"
